Movie Name,Director,Release Year,My Rating,Genre,Own
Almost Famous,Cameron Crowe,2000,9.99,Drama,Yes
The Shawshank Redemption,Frank Darabont,1994,9.98,Drama,Yes
Groundhog Day,Harold Ramis,1993,9.96,Comedy,Yes
Donnie Darko,Richard Kelly,2001,9.95,Sci-Fi,Yes
Children of Men,Alfonso Cuaron,2006,9.94,Sci-Fi,Yes
Annie Hall,Woody Allen,1977,9.93,Comedy,Yes
Rushmore,Wes Anderson,1998,9.92,Independent,Yes
Memento,Christopher Nolan,2000,9.91,Thriller,Yes
No Country for Old Men,Joel and Ethan Coen,2007,9.90,Thriller,Yes
Seven,David Fincher,1995,9.88,Thriller,Yes
Inception,Christopher Nolan,2010,9.87,Action,Yes
Wall-E,Andrew Stanton,2008,9.86,Family,Yes
The Princess Bride,Rob Reiner,1987,9.85,Fantasy,Yes
Before Sunrise,Richard Linklater,1995,9.84,Romance,Yes
All the Real Girls,David Gordon Green,2003,9.83,Romance,Yes
The Royal Tenenbaums,Wes Anderson,2001,9.82,Independent,Yes
When Harry Met Sally,Rob Reiner,1989,9.81,Romance,Yes
Fight Club,David Fincher,1999,9.80,Thriller,Yes
Say Anything,Cameron Crowe,1989,9.78,Romance,Yes
Take Shelter,Jeff Nichols,2011,9.77,Thriller,Yes
Garden State,Zach Braff,2004,9.76,Romance,Yes
Boyhood,Richard Linklater,2014,9.75,Drama,No
The Usual Suspects,Bryan Singer,1995,9.75,Thriller,Yes
Snatch,Guy Ritchie,2000,9.74,Action,Yes
Vanilla Sky,Cameron Crowe,2001,9.72,Thriller,Yes
The Spectacular Now,James Ponsoldt,2013,9.71,Romance,No
American Beauty,Sam Mendes,1999,9.70,Drama,Yes
Unbreakable,M. Night Shyamalan,2000,9.68,Thriller,No
Gravity,Alfonso Cuaron,2013,9.65,Sci-Fi,No
The Big Lebowski,Joel and Ethan Coen,1998,9.65,Comedy,Yes
The Graduate,Mike Nichols,1967,9.64,Romance,Yes
Amelie,Jean-Pierre Jeunet,2001,9.63,Foreign,Yes
Dark City,Alex Proyas,1998,9.62,Sci-Fi,Yes
Dazed and Confused,Richard Linklater,1993,9.61,Comedy,Yes
Shaun of the Dead,Edgar Wright,2004,9.60,Horror,Yes
Lost in Translation,Sofia Coppola,2003,9.59,Romance,Yes
High Fidelity,Stephen Frears,2000,9.58,Comedy,Yes
Little Miss Sunshine,Jonathan Dayton,2006,9.57,Comedy,Yes
The Dark Knight,Christopher Nolan,2008,9.57,Action,Yes
Mystic River,Clint Eastwood,2003,9.56,Drama,Yes
The Lego Movie,Phil Lord,2014,9.56,Family,No
Rango,Gore Verbinski,2011,9.55,Family,Yes
Signs,M. Night Shyamalan,2002,9.54,Thriller,No
The Way Way Back,Jim Rash,2013,9.54,Comedy,No
(500) Days of Summer,Marc Webb,2009,9.53,Romance,Yes
LOTR: Fellowship of the Ring,Peter Jackson,2001,9.52,Fantasy,Yes
City of God,Ferando Mierelles,2002,9.51,Foreign,Yes
Moonrise Kingdom,Wes Anderson,2012,9.50,Independent,No
True Romance,Tony Scott,1993,9.49,Action,Yes
Away We Go,Sam Mendes,2009,9.48,Romance,Yes
Jaccob's Ladder,Adrian Lyne,1990,9.48,Horror,Yes
Hannah and Her Sisters,Woody Allen,1986,9.47,Drama,Yes
In the Bedroom,Todd Field,2001,9.47,Drama,Yes
The Matrix,Andy Wachowski,1999,9.46,Action,No
Back to the Future,Robert Zemeckis,1985,9.45,Action,No
Taxi Driver,Martin Scorsese,1976,9.45,Thriller,Yes
The Grand Budapest Hotel,Wes Anderson,2014,9.45,Comedy,No
Big Fish,Tim Burton,2003,9.44,Drama,Yes
Up,Pete Docter,2009,9.44,Family,Yes
Pan's Labyrinth,Guillermo del Toro,2006,9.43,Foreign,Yes
The Sweet Hereafter,Atom Egoyan,1997,9.42,Drama,Yes
Leon: The Professional,Luc Besson,1994,9.41,Action,Yes
Stand By Me,Rob Reiner,1986,9.40,Drama,Yes
Inside Llweyn Davis,Joel and Ethan Coen,2013,9.39,Drama,No
The Life Aquatic with Steve Zissou,Wes Anderson,2004,9.39,Comedy,Yes
LOTR: Return of the King,Peter Jackson,2003,9.38,Fantasy,Yes
Days of Heaven,Terrence Malick,1978,9.37,Romance,Yes
Matchstick Men,Ridley Scott,2003,9.36,Thriller,Yes
Requiem for a Dream,Darren Aronofsky,2000,9.36,Drama,Yes
This Is England,Shane Meadows,2006,9.36,Drama,No
"Paris, Texas",Wim Wenders,1984,9.35,Drama,No
L.A. Confidential,Curtis Hanson,1997,9.34,Action,Yes
Up in the Air,Jason Reitman,2009,9.34,Drama,Yes
Raiders of the Lost Ark,Steven Spielberg,1981,9.33,Action,No
Beasts of the Southern Wild,Benh Zeitlin,2012,9.32,Independent,Yes
Before Midnight,Richard Linklater,2013,9.32,Romance,No
